time,alb_QAS_U,lat_QAS_U,lon_QAS_U,cloud_QAS_U
2017-05-01,0.0656,61.175002,-46.819724,0.9913
2017-05-02,0.0586,61.175015,-46.819728,0.9911
2017-05-03,0.0494,61.175002,-46.819722,0.9947
2017-05-04,0.3854,61.17501,-46.81973,1.0
2017-05-05,0.2782,61.175013,-46.819744,1.0
2017-05-06,0.3078,61.174989,-46.819741,1.0
2017-05-07,0.4461,61.175002,-46.819731,1.0
2017-05-08,0.4977,61.175001,-46.81973,1.0
2017-05-09,0.3739,61.175008,-46.819721,0.9662
2017-05-10,0.6368,61.175007,-46.819735,0.6553
2017-05-11,0.722,61.175009,-46.819738,0.4663
2017-05-12,0.7595,61.175012,-46.819735,0.5546
2017-05-13,0.7382,61.175002,-46.819741,0.3781
2017-05-14,0.7316,61.175005,-46.81974,0.0195
2017-05-15,0.6898,61.175004,-46.819747,0.0914
2017-05-16,0.7002,61.174993,-46.819756,0.1545
2017-05-17,0.7386,61.174994,-46.819749,0.4212
2017-05-18,0.8355,61.17499,-46.819756,0.9951
2017-05-19,0.8529,61.174999,-46.819766,1.0
2017-05-20,0.8146,61.174994,-46.819761,0.9392
2017-05-21,0.708,61.174993,-46.819763,0.202
2017-05-22,0.6974,61.174988,-46.819745,0.2507
2017-05-23,0.7347,61.174986,-46.819753,0.8657
2017-05-24,0.8018,61.174985,-46.819758,0.9826
2017-05-25,0.8156,61.174983,-46.819767,0.8753
2017-05-26,0.7993,61.174989,-46.819755,0.7817
2017-05-27,0.7012,61.17498,-46.819758,0.2565
2017-05-28,0.7355,61.174978,-46.819754,0.4024
2017-05-29,0.7966,61.174983,-46.819762,0.666
2017-05-30,0.6671,61.17498,-46.819765,0.2205
2017-05-31,0.7078,61.17497,-46.819775,0.2792
2017-06-01,0.6546,61.174978,-46.819768,0.1382
2017-06-02,0.6658,61.174973,-46.819778,0.1393
2017-06-03,0.6646,61.174965,-46.819775,0.1722
2017-06-04,0.6654,61.174971,-46.819779,0.1707
2017-06-05,0.8767,61.174971,-46.819778,0.7755
2017-06-06,0.7045,61.17497,-46.819783,0.5355
2017-06-07,0.7478,61.17497,-46.819778,0.5739
2017-06-08,0.6803,61.174966,-46.819774,0.2178
2017-06-09,0.6831,61.17496,-46.819782,0.4188
2017-06-10,0.7589,61.174962,-46.819788,0.7061
2017-06-11,0.7012,61.174946,-46.819768,0.363
2017-06-12,0.6436,61.174965,-46.819787,0.033
2017-06-13,0.642,61.17497,-46.819795,0.0848
2017-06-14,0.7466,61.174963,-46.819784,0.5756
2017-06-15,0.7341,61.174966,-46.819795,0.5233
2017-06-16,0.6468,61.174962,-46.819786,0.1682
2017-06-17,0.6497,61.174961,-46.819801,0.1409
2017-06-18,0.7244,61.174961,-46.819809,0.5484
2017-06-19,0.7746,61.174958,-46.819803,0.9903
2017-06-20,0.6276,61.174957,-46.819802,0.0662
2017-06-21,0.6342,61.174954,-46.819804,0.0375
2017-06-22,0.6397,61.174956,-46.819808,0.1183
2017-06-23,0.6461,61.174954,-46.819809,0.1259
2017-06-24,0.647,61.174954,-46.819809,0.1995
2017-06-25,0.7729,61.174956,-46.819806,0.536
2017-06-26,0.7934,61.174952,-46.819814,0.9226
2017-06-27,0.7293,61.174952,-46.819811,0.6626
2017-06-28,0.6588,61.174951,-46.819816,0.2178
2017-06-29,0.7646,61.174948,-46.819814,0.7272
2017-06-30,0.6594,61.174948,-46.819818,0.2293
2017-07-01,0.649,61.174945,-46.819817,0.2211
2017-07-02,0.66,61.174946,-46.819814,0.3693
2017-07-03,0.7951,61.174944,-46.819816,0.7609
2017-07-04,0.8209,61.17494,-46.819814,0.9834
2017-07-05,0.6409,61.174942,-46.81982,0.1876
2017-07-06,0.6493,61.174941,-46.819816,0.0802
2017-07-07,0.7794,61.174938,-46.819821,0.6616
2017-07-08,0.7749,61.174934,-46.819821,0.7807
2017-07-09,0.6573,61.174936,-46.819825,0.2031
2017-07-10,0.6998,61.174932,-46.819826,0.3911
2017-07-11,0.7748,61.174929,-46.819825,0.978
2017-07-12,0.6844,61.174932,-46.819829,0.5696
2017-07-13,0.7772,61.174929,-46.819828,0.9283
2017-07-14,0.7958,61.17493,-46.819835,0.7537
2017-07-15,0.7903,61.174926,-46.819837,0.6755
2017-07-16,0.7445,61.174926,-46.81984,0.7612
2017-07-17,0.6879,61.174924,-46.819838,0.3838
2017-07-18,0.8007,61.174926,-46.819842,0.6748
2017-07-19,0.8052,61.174923,-46.819839,0.909
2017-07-20,0.7108,61.174924,-46.81984,0.6338
2017-07-21,0.6985,61.17492,-46.819842,0.3743
2017-07-22,0.6622,61.17492,-46.819842,0.2993
2017-07-23,0.81,61.17492,-46.819849,0.7627
2017-07-24,0.7626,61.174918,-46.819845,0.8802
2017-07-25,0.6888,61.174915,-46.819845,0.719
2017-07-26,0.7686,61.174913,-46.819852,0.7237
2017-07-27,0.6679,61.174913,-46.819848,0.2626
2017-07-28,0.6524,61.174912,-46.819856,0.1977
2017-07-29,0.6626,61.174907,-46.819853,0.2186
2017-07-30,0.656,61.174908,-46.819853,0.2183
2017-07-31,0.6527,61.174906,-46.819853,0.1896
2017-08-01,0.6564,61.174907,-46.819859,0.1824
2017-08-02,0.6504,61.174905,-46.819858,0.1765
2017-08-03,0.6446,61.174905,-46.81986,0.1863
2017-08-04,0.6576,61.1749,-46.819859,0.5359
2017-08-05,0.6229,61.1749,-46.81986,0.2115
2017-08-06,0.6879,61.174897,-46.819861,0.8864
2017-08-07,0.6375,61.174897,-46.819862,1.0
2017-08-08,0.5789,61.174895,-46.819868,1.0
2017-08-09,0.4524,61.174894,-46.819868,0.9997
2017-08-10,0.4503,61.174892,-46.819867,1.0
2017-08-11,0.5161,61.174892,-46.819872,0.8908
2017-08-12,0.5656,61.174889,-46.819873,0.3478
2017-08-13,0.5598,61.174892,-46.819874,0.1122
2017-08-14,0.5278,61.174891,-46.819876,0.1051
2017-08-15,0.499,61.174887,-46.819874,0.1791
2017-08-16,0.4918,61.174888,-46.819877,0.2856
2017-08-17,0.4372,61.174883,-46.819877,0.3121
2017-08-18,0.4033,61.174886,-46.81988,0.7287
2017-08-19,0.4057,61.174884,-46.819884,0.8198
2017-08-20,0.5426,61.174882,-46.819884,0.9908
2017-08-21,0.3738,61.174876,-46.819881,0.9974
2017-08-22,0.2718,61.174875,-46.819884,0.9866
2017-08-23,0.229,61.174873,-46.819874,0.9451
2017-08-24,0.2501,61.17487,-46.819889,0.8229
2017-08-25,0.219,61.174869,-46.819886,0.9866
2017-08-26,0.2767,61.174868,-46.819888,0.6893
2017-08-27,0.3136,61.17487,-46.819895,0.6437
2017-08-28,0.3489,61.174871,-46.819896,0.2595
